table_name,column_name,data_type,description
dw_case,order_for_filing_fee,boolean,This field is set to FALSE unless a Petitions Clerk checks the box indicating that this Order is needed to be auto-generatred during the Petitions QC workflow.  Once the box is checked, this field is set to TRUE after the clerk clicks the Review Petition button.
dw_case,order_for_ratification,boolean,This field is set to FALSE unless a Petitions Clerk checks the box indicating that this Order is needed to be auto-generatred during the Petitions QC workflow.  Once the box is checked, this field is set to TRUE after the clerk clicks the Review Petition button.
dw_case,order_to_show_cause,boolean,This field is set to FALSE unless a Petitions Clerk checks the box indicating that this Order is needed to be auto-generatred during the Petitions QC workflow.  Once the box is checked, this field is set to TRUE after the clerk clicks the Review Petition button.
dw_case,party_type,string,This field is populated with the type of party that is filing the Petition.  If a petitioner selects Myself and My Spouse, this equals Petitioner and Spouse.
dw_case,petition_payment_date,date,This field is populated by a Petitions Clerk once the filing fee has been paid. This field is a date field and is added via a date picker. If no data is in this field, or if the status is Waived or Not Paid, it is displayed as NULL.
dw_case,petition_payment_method,string,This field is populated by a Petitions Clerk once the filing fee has been paid. This field is a text field. If no data is in this field, or if the status is Waived or Not Paid, it is displayed as NULL.
dw_case,petition_payment_status,string,This field is a radio button, and the default selection is "Not paid". Once the fee has been paid, the clerk selects "Paid". If the payment is waived by the Court, then the Clerk selected "Waived".
dw_case,petition_payment_waived_date,date,If a petitioner submits a fee waiver and it is approved by the Court, then the date of the Court Order is added to this field. If no waived date or if "Not Paid" or "Paid" is selected in the petition_payment_status field, NULL is displayed.
dw_case,preferred_trial_city,string,This is the requested place of trial that the user selected or that the Court designates.
dw_case,procedure_type,string,The case procedure type (small or regular) that the user selects for the case.
dw_case,qc_complete_for_trial,string,This field is populated with the trial session ID and "true" when the case has been marked as "QC Complete" for a new trial session. Cases not yet QC'ed or legacy cases display "{ }".
dw_case,received_at,date,The date/timestamp of when the case was submitted to the US Tax Court.
dw_case,sealed_date,date,The date/timestamp of when the case was sealed
dw_case,sortable_docket_number,string,The docket number in a sortable format. Example 3167-25 would be 2025003167
dw_case,trial_session_id,string,The ID of the scheduled trial session
dw_case,trial_time,string,The Start time of the scheduled trial session
dw_case,use_same_as_primary,boolean,This field is set to true ONLY when a Court User is inputting a paper petition and they check the box to use the same address as the primary petitioner. If this box is not checked, the field remains NULL. This is currently NOT getting set to TRUE when an electronic petitioner checks the box to use the same mailing address as above. I assume it should be getting set to True for this workflow as well? <span style="font-family: Aptos Narrow;font-size: 15px;color: #FF0000;">In the future, should this be stored with secondary petitioner instead of here?</span>
dw_case_status_update,status_update_id,string,A unique identifier of the case status.
dw_case_status_update,changed_by,string,The entitiy that triggered the update. This could be the system (when an automated process updates the case status) or a specific user of DAWSON (submitting a case, manually updating the case status, etc.).
dw_case_status_update,date,date,The date that the case status was updated.
dw_case_status_update,docket_number,string,The docket number of the case.
dw_case_status_update,updated_case_status,string,The case status of the case.
